Name,Department,empid,Salary,Address
Horticulture and Fruit Growing,Level 4,AA111,0,Kovai
Horticulture and Fruit Growing,Level 4,AA111,"2,673",Gandhipuram
Horticulture and Fruit Growing,Level 4,AA111,19,Erode
Horticulture and Fruit Growing,Level 4,AA111,339,Namakkal
Horticulture and Fruit Growing,Level 4,AA111,363,Kovai
Horticulture and Fruit Growing,Level 4,AA111,832,Gandhipuram
Horticulture and Fruit Growing,Level 4,AA111,"14,972",Erode
Horticulture and Fruit Growing,Level 4,AA111,"2,671",Namakkal
Horticulture and Fruit Growing,Level 4,AA111,"9,750",Kovai
Horticulture and Fruit Growing,Level 4,AA111,"2,551",Gandhipuram
Horticulture and Fruit Growing,Level 4,AA111,"14,972",Erode
Horticulture and Fruit Growing,Level 4,AA111,"6,967",Namakkal
Horticulture and Fruit Growing,Level 4,AA111,"3,500",Kovai
Horticulture and Fruit Growing,Level 4,AA111,"4,505",Gandhipuram
Horticulture and Fruit Growing,Level 4,AA111,"185,800",Erode
Horticulture and Fruit Growing,Level 4,AA111,"32,300",Namakkal
Horticulture and Fruit Growing,Level 4,AA111,76,Kovai
Horticulture and Fruit Growing,Level 4,AA111,66,Gandhipuram
Horticulture and Fruit Growing,Level 4,AA111,12,Erode
Horticulture and Fruit Growing,Level 4,AA111,6,Namakkal
Horticulture and Fruit Growing,Level 4,AA111,47,Kovai
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"11,872",Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"11,152",Erode
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,134,Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,586,Kovai
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"10,381",Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,706,Erode
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,183,Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,551,Kovai
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"1,036",Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,0,Erode
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"7,836",Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,69,Kovai
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"6,526",Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"6,689",Erode
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"1,654",Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"58,600",Kovai
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"13,347",Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"37,381",Erode
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"7,872",Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"58,600",Kovai
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"32,303",Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"10,064",Erode
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"16,233",Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"527,800",Kovai
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,"73,500",Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,133,Erode
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,66,Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,5,Kovai
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,3,Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 3,AA12,55,Erode
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"11,872",Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"11,152",Kovai
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,134,Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,586,Erode
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"10,381",Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,706,Kovai
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,183,Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,551,Erode
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"1,036",Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,0,Kovai
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"7,836",Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,69,Erode
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"6,526",Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"6,689",Kovai
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"1,654",Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"58,600",Erode
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"13,347",Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"37,381",Kovai
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"7,872",Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"58,600",Erode
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"32,303",Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"10,064",Kovai
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"16,233",Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"527,800",Erode
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,"73,500",Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,133,Kovai
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,66,Gandhipuram
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,5,Erode
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,3,Namakkal
"Sheep, Beef Cattle and Grain Farming",Level 4,AA121,55,Kovai
Dairy Cattle Farming,Level 3,AA13,"13,757",Gandhipuram
Dairy Cattle Farming,Level 3,AA13,"13,362",Erode
Dairy Cattle Farming,Level 3,AA13,97,Namakkal
Dairy Cattle Farming,Level 3,AA13,299,Kovai
Dairy Cattle Farming,Level 3,AA13,"12,188",Gandhipuram
Dairy Cattle Farming,Level 3,AA13,"1,596",Erode
Dairy Cattle Farming,Level 3,AA13,183,Namakkal
Dairy Cattle Farming,Level 3,AA13,670,Kovai
Dairy Cattle Farming,Level 3,AA13,"1,480",Gandhipuram
Dairy Cattle Farming,Level 3,AA13,0,Erode
Dairy Cattle Farming,Level 3,AA13,"8,225",Namakkal
Dairy Cattle Farming,Level 3,AA13,34,Kovai
Dairy Cattle Farming,Level 3,AA13,"6,416",Gandhipuram
Dairy Cattle Farming,Level 3,AA13,"6,370",Erode
Dairy Cattle Farming,Level 3,AA13,"1,524",Namakkal
Dairy Cattle Farming,Level 3,AA13,"66,151",Kovai
Dairy Cattle Farming,Level 3,AA13,"11,893",Gandhipuram
Dairy Cattle Farming,Level 3,AA13,"43,332",Erode
Dairy Cattle Farming,Level 3,AA13,"10,925",Namakkal
Dairy Cattle Farming,Level 3,AA13,"66,151",Kovai
Dairy Cattle Farming,Level 3,AA13,"22,115",Gandhipuram
Dairy Cattle Farming,Level 3,AA13,"11,338",Erode
Dairy Cattle Farming,Level 3,AA13,"32,698",Namakkal
Dairy Cattle Farming,Level 3,AA13,"533,700",Kovai
Dairy Cattle Farming,Level 3,AA13,"59,100",Gandhipuram
Dairy Cattle Farming,Level 3,AA13,105,Erode
Dairy Cattle Farming,Level 3,AA13,49,Namakkal
Dairy Cattle Farming,Level 3,AA13,7,Kovai
Dairy Cattle Farming,Level 3,AA13,2,Gandhipuram
Dairy Cattle Farming,Level 3,AA13,33,Erode
Dairy Cattle Farming,Level 4,AA131,"13,757",Namakkal
Dairy Cattle Farming,Level 4,AA131,"13,362",Kovai
Dairy Cattle Farming,Level 4,AA131,97,Gandhipuram
Dairy Cattle Farming,Level 4,AA131,299,Erode
Dairy Cattle Farming,Level 4,AA131,"12,188",Namakkal
Dairy Cattle Farming,Level 4,AA131,"1,596",Kovai
Dairy Cattle Farming,Level 4,AA131,183,Gandhipuram
Dairy Cattle Farming,Level 4,AA131,670,Erode
Dairy Cattle Farming,Level 4,AA131,"1,480",Namakkal
Dairy Cattle Farming,Level 4,AA131,0,Kovai
Dairy Cattle Farming,Level 4,AA131,"8,225",Gandhipuram
Dairy Cattle Farming,Level 4,AA131,34,Erode
Dairy Cattle Farming,Level 4,AA131,"6,416",Namakkal
Dairy Cattle Farming,Level 4,AA131,"6,370",Kovai
Dairy Cattle Farming,Level 4,AA131,"1,524",Gandhipuram
Dairy Cattle Farming,Level 4,AA131,"66,151",Erode
Dairy Cattle Farming,Level 4,AA131,"11,893",Namakkal
Dairy Cattle Farming,Level 4,AA131,"43,332",Kovai
Dairy Cattle Farming,Level 4,AA131,"10,925",Gandhipuram
Dairy Cattle Farming,Level 4,AA131,"66,151",Erode
Dairy Cattle Farming,Level 4,AA131,"22,115",Namakkal
Dairy Cattle Farming,Level 4,AA131,"11,338",Kovai
Dairy Cattle Farming,Level 4,AA131,"32,698",Gandhipuram
Dairy Cattle Farming,Level 4,AA131,"533,700",Erode
Dairy Cattle Farming,Level 4,AA131,"59,100",Namakkal
Dairy Cattle Farming,Level 4,AA131,105,Kovai
Dairy Cattle Farming,Level 4,AA131,49,Gandhipuram
Dairy Cattle Farming,Level 4,AA131,7,Erode
Dairy Cattle Farming,Level 4,AA131,2,Namakkal
Dairy Cattle Farming,Level 4,AA131,33,Kovai
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"2,127",Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"2,071",Erode
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,22,Namakkal
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,35,Kovai
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"2,001",Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,101,Erode
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,15,Namakkal
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,112,Kovai
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,289,Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,0,Erode
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"1,478",Namakkal
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,7,Kovai
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,679,Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,723,Erode
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,170,Namakkal
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"6,758",Kovai
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"1,891",Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"3,930",Erode
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,936,Namakkal
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"6,758",Kovai
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"2,863",Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"1,680",Erode
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"2,214",Namakkal
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"346,700",Kovai
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,"27,800",Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,113,Erode
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,70,Namakkal
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,6,Kovai
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,3,Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 3,AA14,42,Erode
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"2,127",Namakkal
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"2,071",Kovai
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,22,Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,35,Erode
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"2,001",Namakkal
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,101,Kovai
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,15,Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,112,Erode
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,289,Namakkal
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,0,Kovai
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"1,478",Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,7,Erode
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,679,Namakkal
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,723,Kovai
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,170,Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"6,758",Erode
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"1,891",Namakkal
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"3,930",Kovai
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,936,Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"6,758",Erode
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"2,863",Namakkal
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"1,680",Kovai
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"2,214",Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"346,700",Erode
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,"27,800",Namakkal
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,113,Kovai
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,70,Gandhipuram
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,6,Erode
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,3,Namakkal
"Poultry, Deer and Other Livestock Farming",Level 4,AA141,42,Kovai
Forestry and Logging,Level 3,AA21,"6,766",Gandhipuram
Forestry and Logging,Level 3,AA21,"6,021",Erode
Forestry and Logging,Level 3,AA21,25,Namakkal
Forestry and Logging,Level 3,AA21,0,Kovai
Forestry and Logging,Level 3,AA21,721,Gandhipuram
Forestry and Logging,Level 3,AA21,"5,092",Erode
Forestry and Logging,Level 3,AA21,172,Namakkal
Forestry and Logging,Level 3,AA21,20,Kovai
Forestry and Logging,Level 3,AA21,187,Gandhipuram
Forestry and Logging,Level 3,AA21,407,Erode
Forestry and Logging,Level 3,AA21,0,Namakkal
Forestry and Logging,Level 3,AA21,"3,915",Kovai
Forestry and Logging,Level 3,AA21,391,Gandhipuram
Forestry and Logging,Level 3,AA21,293,Erode
Forestry and Logging,Level 3,AA21,269,Namakkal
Forestry and Logging,Level 3,AA21,"1,650",Kovai
Forestry and Logging,Level 3,AA21,"23,670",Gandhipuram
Forestry and Logging,Level 3,AA21,"2,505",Erode
Forestry and Logging,Level 3,AA21,"4,315",Namakkal
Forestry and Logging,Level 3,AA21,"16,851",Kovai
Forestry and Logging,Level 3,AA21,"23,670",Gandhipuram
Forestry and Logging,Level 3,AA21,"15,167",Erode
Forestry and Logging,Level 3,AA21,"2,660",Namakkal
Forestry and Logging,Level 3,AA21,"5,843",Kovai
Forestry and Logging,Level 3,AA21,"1,329,400",Gandhipuram
Forestry and Logging,Level 3,AA21,"324,300",Erode
Forestry and Logging,Level 3,AA21,94,Namakkal
Forestry and Logging,Level 3,AA21,84,Kovai
Forestry and Logging,Level 3,AA21,11,Gandhipuram
Forestry and Logging,Level 3,AA21,7,Erode
Forestry and Logging,Level 3,AA21,64,Namakkal
Forestry and Logging,Level 4,AA211,"6,766",Kovai
Forestry and Logging,Level 4,AA211,"6,021",Gandhipuram
Forestry and Logging,Level 4,AA211,25,Erode
Forestry and Logging,Level 4,AA211,0,Namakkal
Forestry and Logging,Level 4,AA211,721,Kovai
Forestry and Logging,Level 4,AA211,"5,092",Gandhipuram
Forestry and Logging,Level 4,AA211,172,Erode
Forestry and Logging,Level 4,AA211,20,Namakkal
Forestry and Logging,Level 4,AA211,187,Kovai
Forestry and Logging,Level 4,AA211,407,Gandhipuram
Forestry and Logging,Level 4,AA211,0,Erode
Forestry and Logging,Level 4,AA211,"3,915",Namakkal
Forestry and Logging,Level 4,AA211,391,Kovai
Forestry and Logging,Level 4,AA211,293,Gandhipuram
Forestry and Logging,Level 4,AA211,269,Erode
Forestry and Logging,Level 4,AA211,"1,650",Namakkal
Forestry and Logging,Level 4,AA211,"23,670",Kovai
Forestry and Logging,Level 4,AA211,"2,505",Gandhipuram
Forestry and Logging,Level 4,AA211,"4,315",Erode
Forestry and Logging,Level 4,AA211,"16,851",Namakkal
Forestry and Logging,Level 4,AA211,"23,670",Kovai
Forestry and Logging,Level 4,AA211,"15,167",Gandhipuram
Forestry and Logging,Level 4,AA211,"2,660",Erode
Forestry and Logging,Level 4,AA211,"5,843",Namakkal
Forestry and Logging,Level 4,AA211,"1,329,400",Kovai
Forestry and Logging,Level 4,AA211,"324,300",Gandhipuram
Forestry and Logging,Level 4,AA211,94,Erode
Forestry and Logging,Level 4,AA211,84,Namakkal
Forestry and Logging,Level 4,AA211,11,Kovai
Forestry and Logging,Level 4,AA211,7,Gandhipuram
Forestry and Logging,Level 4,AA211,64,Erode
Fishing and Aquaculture,Level 3,AA31,"1,575",Namakkal
Fishing and Aquaculture,Level 3,AA31,"1,506",Kovai
Fishing and Aquaculture,Level 3,AA31,45,Gandhipuram
Fishing and Aquaculture,Level 3,AA31,24,Erode
Fishing and Aquaculture,Level 3,AA31,"1,330",Namakkal
Fishing and Aquaculture,Level 3,AA31,25,Kovai
Fishing and Aquaculture,Level 3,AA31,20,Gandhipuram
Fishing and Aquaculture,Level 3,AA31,64,Erode
Fishing and Aquaculture,Level 3,AA31,229,Namakkal
Fishing and Aquaculture,Level 3,AA31,0,Kovai
Fishing and Aquaculture,Level 3,AA31,981,Gandhipuram
Fishing and Aquaculture,Level 3,AA31,11,Erode
Fishing and Aquaculture,Level 3,AA31,161,Namakkal
Fishing and Aquaculture,Level 3,AA31,158,Kovai
Fishing and Aquaculture,Level 3,AA31,242,Gandhipuram
Fishing and Aquaculture,Level 3,AA31,"2,237",Erode
Fishing and Aquaculture,Level 3,AA31,643,Namakkal
Fishing and Aquaculture,Level 3,AA31,619,Kovai
Fishing and Aquaculture,Level 3,AA31,975,Gandhipuram
Fishing and Aquaculture,Level 3,AA31,"2,237",Erode
Fishing and Aquaculture,Level 3,AA31,"1,114",Namakkal
Fishing and Aquaculture,Level 3,AA31,429,Kovai
Fishing and Aquaculture,Level 3,AA31,695,Gandhipuram
Fishing and Aquaculture,Level 3,AA31,"521,500",Erode
Fishing and Aquaculture,Level 3,AA31,"80,300",Namakkal
Fishing and Aquaculture,Level 3,AA31,150,Kovai
Fishing and Aquaculture,Level 3,AA31,113,Gandhipuram
Fishing and Aquaculture,Level 3,AA31,22,Erode
Fishing and Aquaculture,Level 3,AA31,11,Namakkal
Fishing and Aquaculture,Level 3,AA31,50,Kovai
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"4,734",Gandhipuram
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"4,635",Erode
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,31,Namakkal
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,13,Kovai
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,56,Gandhipuram
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"4,356",Erode
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,127,Namakkal
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,18,Kovai
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,266,Gandhipuram
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"1,314",Erode
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,0,Namakkal
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"2,588",Kovai
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,42,Gandhipuram
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,246,Erode
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,285,Namakkal
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,418,Kovai
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"6,635",Gandhipuram
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"1,742",Erode
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"3,750",Namakkal
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"1,143",Kovai
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"6,635",Gandhipuram
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"2,565",Erode
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"1,742",Namakkal
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"2,328",Kovai
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"164,500",Gandhipuram
"Agriculture, Forestry and Fishing Support Services and Hunting",Level 3,AA32,"14,500",Erode
